City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Asandh,IN,29.5167,76.6,83.19,73,87,8.75,overcast clouds
265,Zunyi,CN,27.6867,106.9072,79.97,75,96,8.08,overcast clouds
266,Tuban,ID,-6.8976,112.0649,84.92,60,8,5.55,clear sky
267,Pimentel,PE,-6.8367,-79.9342,62.19,87,46,14.36,scattered clouds
268,Namibe,AO,-15.1961,12.1522,59.54,92,40,2.28,scattered clouds
269,Vila Do Maio,CV,15.1333,-23.2167,79.59,85,98,7.43,overcast clouds
270,Kuusamo,FI,65.9667,29.1833,51.84,93,100,5.75,overcast clouds
271,Batagay-Alyta,RU,67.8006,130.4114,67.66,53,9,4.23,clear sky
272,Verkhnyaya Inta,RU,65.9811,60.3094,73.36,56,0,13.2,clear sky
273,Camocim,BR,-2.9022,-40.8411,76.05,84,23,13.02,few clouds
274,Gamboma,CG,-1.8764,15.8644,76.62,56,52,2.86,broken clouds
275,Buribay,RU,51.9617,58.1592,68.18,67,100,7.52,overcast clouds
276,Coihaique,CL,-45.5752,-72.0662,36.21,87,75,3.44,broken clouds
277,Yershov,RU,51.3513,48.2766,71.47,50,52,7.7,broken clouds
278,Bilgoraj,PL,50.5411,22.722,57.65,69,94,7.18,overcast clouds
279,Palmer,US,42.1584,-72.3287,79.25,83,20,10.36,few clouds
280,Fortuna,US,40.5982,-124.1573,63.99,79,0,10.36,clear sky
281,Cap Malheureux,MU,-19.9842,57.6142,66.47,78,2,1.01,clear sky
282,Bandarbeyla,SO,9.4942,50.8122,76.26,65,16,28.19,few clouds
283,Non Sang,TH,16.8687,102.5664,75.07,94,100,4.45,overcast clouds
284,Cedar City,US,37.6775,-113.0619,77.4,27,0,5.75,clear sky
285,Banyo,CM,6.75,11.8167,64.26,94,100,2.04,overcast clouds
286,Bilma,NE,18.6853,12.9164,90.52,34,4,7.25,clear sky
287,Luderitz,NA,-26.6481,15.1594,55.58,71,2,8.08,clear sky
288,Lorengau,PG,-2.0226,147.2712,84.81,70,92,10.2,overcast clouds
289,Manta,EC,-0.95,-80.7333,69.58,88,100,10.36,overcast clouds
290,Baijiantan,CN,45.6333,85.1833,88.3,23,84,10.6,broken clouds
291,Darfield,GB,53.5339,-1.376,59.27,89,35,3.06,scattered clouds
292,General Roca,AR,-39.0333,-67.5833,39.31,97,100,4.41,overcast clouds
293,Kyabram,AU,-36.3167,145.05,60.87,58,0,4.99,clear sky
294,Azogues,EC,-2.7333,-78.8333,51.75,94,87,4.14,overcast clouds
295,Brazzaville,CG,-4.2658,15.2832,73.71,55,7,3.91,clear sky
296,Okotoks,CA,50.7289,-113.9828,69.73,50,0,1.92,clear sky
297,Sola,VU,-13.8833,167.55,80.08,74,6,4.32,clear sky
298,Bengkulu,ID,-3.8004,102.2655,83.5,66,10,5.53,clear sky
299,Mitu,CO,1.1983,-70.1733,71.37,98,24,0.94,few clouds
300,Malanje,AO,-9.5402,16.341,62.76,31,0,4.61,clear sky
301,Caravelas,BR,-17.7125,-39.2481,73.06,77,5,9.98,clear sky
302,Tiarei,PF,-17.5333,-149.3333,80.62,74,61,26.64,broken clouds
303,Krivosheino,RU,57.3431,83.9261,60.93,88,99,5.03,overcast clouds
304,Zyryanka,RU,65.75,150.85,78.31,44,35,12.39,scattered clouds
305,Wittmund,DE,53.5667,7.7833,59.04,93,6,5.01,clear sky
306,Bilgi,IN,16.35,75.6167,72.68,92,100,15.66,overcast clouds
307,Ibra,OM,22.6906,58.5334,88.65,44,15,3.15,few clouds
308,Asyut,EG,27.181,31.1837,82.65,35,0,6.13,clear sky
309,Oksfjord,NO,70.2396,22.3479,51.98,91,100,8.95,overcast clouds
310,Tecalitlan,MX,19.4667,-103.3,66.83,95,95,2.51,overcast clouds
311,Kinablangan,PH,7.6947,126.5503,82.09,77,100,4.76,light rain
312,Ikom,NG,5.9667,8.7063,72.68,98,100,2.26,light rain
313,Yar-Sale,RU,66.8333,70.8333,74.84,54,0,11.18,clear sky
314,Dandong,CN,40.1292,124.3947,83.71,76,100,12.06,overcast clouds
315,Hofn,IS,64.2539,-15.2082,51.58,84,41,15.14,scattered clouds
316,Moose Factory,CA,51.2585,-80.6094,50.31,65,99,4.23,overcast clouds
317,Hvolsvollur,IS,63.7533,-20.2243,47.39,93,27,11.48,scattered clouds
318,Port Macquarie,AU,-31.4333,152.9167,61.9,70,27,15.17,scattered clouds
319,Belmonte,BR,-15.8631,-38.8828,71.74,76,6,7.56,clear sky
320,Codrington,AU,-38.2667,141.9667,54.77,54,6,2.15,clear sky
321,Nome,US,64.5011,-165.4064,50.07,87,100,12.66,light rain
322,Rabat,MA,33.9911,-6.8401,71.67,68,75,0.0,broken clouds
323,Kamsack,CA,51.5667,-101.9009,64.44,70,30,6.85,scattered clouds
324,The Valley,AI,18.217,-63.0578,82.09,80,100,21.07,overcast clouds
325,Boli,CN,45.7667,130.5167,78.21,36,0,15.48,clear sky
326,Palomares,MX,17.15,-95.0667,73.06,95,97,4.27,overcast clouds
327,Touros,BR,-5.1989,-35.4608,72.88,86,23,12.77,few clouds
328,Nizhniy Ingash,RU,56.2,96.53,71.1,50,3,1.34,clear sky
329,Beaufort,MY,5.3473,115.7455,91.29,51,29,1.34,scattered clouds
330,Deputatskiy,RU,69.3,139.9,51.73,85,100,4.12,overcast clouds
331,Naze,JP,28.3667,129.4833,83.08,69,2,4.88,clear sky
332,Mogok,MM,22.9167,96.5,68.81,98,100,0.31,moderate rain
333,Semirom,IR,31.4167,51.5667,71.08,40,5,1.74,clear sky
334,Marsa Matruh,EG,31.3525,27.2453,75.76,80,0,9.55,clear sky
335,Wexford,IE,52.3342,-6.4575,57.88,87,1,5.99,clear sky
336,Baie-Comeau,CA,49.2168,-68.1489,54.81,69,77,6.85,broken clouds
337,Vila Velha,BR,-20.3297,-40.2925,75.15,89,20,6.91,few clouds
338,Ribeira Grande,PT,38.5167,-28.7,74.34,81,16,15.28,light rain
339,Tuatapere,NZ,-46.1333,167.6833,42.53,68,12,12.48,few clouds
340,Mar Del Plata,AR,-38.0023,-57.5575,47.08,83,100,9.22,overcast clouds
341,Mujiayingzi,CN,42.1167,118.7833,76.66,34,99,7.61,overcast clouds
342,Novopokrovka,UA,49.8425,36.5477,67.84,44,65,4.18,broken clouds
343,Puerto Madryn,AR,-42.7692,-65.0385,43.88,87,100,3.65,light rain
